Compound,AMID_N,ATSC6se,IC1,AATS1Z,EState_VSA5,MATS2d,AETA_dBeta,GATS2v,ATSC7i,SMR_VSA3,BCUTp-1h,SMR_VSA5,AATS2m,fr_C_O_noCOO,ka,V1,"CLh,int"
Emodin,0,0.138,3.34,28.7,12.1,0.0816,0.213,0.736,-10.8,0,2.01,6.92,109,2,1.32,0.803,1.74
L-Ephedrine,0.153,-0.0686,3.01,20.3,0,-0.145,-0.0625,1.05,-1.5,5.32,1.98,19.1,57.1,0,3.40,0.794,0.907
N-Ethylaniline,0.217,0.0335,2.58,20.2,5.69,-0.019,0.167,1.12,1.16,0,1.98,6.92,53.1,0,17.7,0.550,6.68
Etoxazole,0.0799,-2.74,3.2,24.4,18.2,0.0179,-0.0385,0.82,-47.2,0,2.00,39.2,78.9,0,1.53,1.00,211
Fenarimol,0.183,0.339,2.95,30.7,6.33,-0.0751,0.239,0.822,4.32,9.97,2.21,5.60,115,0,4.33,1.72,0.557
Florfenicol,0.0944,1.09,3.87,38.1,24.3,-0.183,-0.107,1.01,-9.24,5.32,2.96,21.9,125,1,4.50,0.369,0.318
Flufenacet,0.26,1.18,3.77,32.9,29.2,0.00186,-0.104,0.874,-28.1,10.2,2.94,26.1,128,1,2.19,0.866,7.94
Formamide,0.535,0,2.25,22,0,-0.2,0,1.23,0,0,1.74,0,46.6,1,1.76,0.535,0.195
Formetanate,0.366,0.647,3.25,24,7.05,-0.0344,-0.0313,0.707,-16,10.2,1.98,0,72.8,1,10.2,1.09,0.299
Gemfibrozil,0,0.827,3.01,20.8,5.56,-0.26,-0.111,0.927,11.9,0,1.99,40.5,61.4,0,13.2,0.483,10.8
Hexachlorobenzene,0,0,1,69,0,-0.333,0.125,1.22,0,0,2.24,0,332,0,1.41,0.270,51.3
2-Hydroxy-4-methoxybenzophenone,0,0.0495,2.9,25.7,13.2,-0.0423,0.265,0.875,-6.24,0,2.00,0,85.3,1,1.73,0.718,3.13
Imazalil,0.22,0.248,3.56,29.1,0,-0.0533,-0.0132,0.833,-2.65,9.55,2.21,12.6,98.2,0,3.29,0.164,8.40
Imidacloprid,0.602,-2.7,3.86,31.3,0,-0.0825,-0.132,0.896,-3.49,15.2,2.21,6.54,105,0,1.51,0.443,0.0358
Imipramine,0.204,-0.0326,2.78,21.4,28.9,0.0472,-0.0476,0.908,-25.9,4.90,1.99,19.3,61.4,0,2.64,1.00,5.27
Isoeugenol,0,0.0243,3.04,22.6,7.11,0.0263,0.104,0.865,3.2,0,1.99,6.92,67.9,0,10.7,0.382,2.80
2-Mercaptoimidazole,0.649,0,3.12,33.5,0,-0.286,0.0833,0.933,0,9.97,2.91,5.16,129,0,3.76,0.263,0.431
N-Methylaniline,0.235,0.0466,2.44,20.9,0,-0.145,0.25,1.01,2.47,0,1.98,0,56.9,0,7.61,0.383,1.77
Methyleugenol,0,-0.13,2.89,22.2,5.56,0.0917,0.0385,0.801,8.85,0,1.99,6.42,63.1,0,7.46,0.711,12.5
2-Methyltetrahydrofuran,0,0,1.8,18.8,12.8,-0.192,-0.583,1.18,0,0,1.85,25.9,44.8,0,4.70,0.321,0.327
3-Nitroaniline,0.376,-1.13,2.75,28.1,12.1,-0.214,0.25,1.1,0,0,1.98,0,95.9,0,7.73,0.563,0.786
2-Nitrotoluene,0.201,-0.225,2.87,26.4,6.07,-0.107,0.225,0.964,0,0,1.98,6.92,84.0,0,10.5,1.58,1.71
Nilvadipine,0.207,-0.401,3.81,27,24.3,0.176,-0.0536,0.81,-20.7,5.32,2.00,32.8,88.5,2,2.06,0.530,8.88
Nitrous acid,0.569,0,2,40,5.34,-0.333,0,1.12,0,0,1.23,0,135,0,1.57,0.383,0.544
Novaluron,0.125,-0.918,3.98,36.9,0,-0.0393,-0.117,0.963,-18,5.32,2.21,18.8,160,2,0.461,0.641,6.36
Ondansetron,0.289,0.0331,3.51,24.4,5.69,0.0629,-0.0568,0.824,-8.98,14.1,2.01,26.3,77.5,1,12.1,0.366,0.803
Oxazepam,0.204,-1.43,3.34,29.5,0,-0.0517,0.138,0.93,-2.9,0,2.21,6.23,108,1,7.12,0.900,0.448
Oxymetholone,0,-0.41,2.68,20.4,6.42,-0.0875,-0.49,1.03,-16.7,0,1.96,77.7,62.9,1,1.26,1.04,57.0
"3,3',4,4',5-Pentachlorobiphenyl",0,-1.35,2.26,43.8,0,-0.283,0.25,0.704,2.42,0,2.23,0,186,0,0.812,1.62,26.3
Pentachlorophenol,0,-0.192,1.91,60.2,0,-0.316,0.125,0.389,0,0,2.23,0,291,0,2.13,0.161,1.01
Perfluorobutanesulfonic acid,0,0.385,2.36,63.6,0,-0.25,-0.471,1.18,-9.52,0,2.95,23.3,271,0,0.804,0.0725,0.0706
Perfluorodecanoic acid,0,0.133,1.86,46.9,0,-0.249,-0.605,1.28,2.97,0,1.89,53.6,237,0,0.595,0.122,0.0795
Perfluorohexanesulfonic acid,0,0.135,2.16,59.6,0,-0.24,-0.522,1.23,-4.11,0,2.95,35.1,261,0,1.75,0.0559,0.0872
Perfluorohexanoic acid,0,0.149,2.18,46.2,0,-0.264,-0.566,1.19,-21.6,0,1.88,29.9,238,0,0.818,0.497,0.168 
Perfluorooctane sulfonate,0,0.119,2.01,57.2,0,-0.238,-0.552,1.27,2.56,0,2.95,47.0,256,0,0.688,0.104,0.0289
Perfluorooctanoic acid,0,0.145,2,46.6,0,-0.254,-0.59,1.24,2.9,0,1.88,41.7,238,0,1.74,0.0802,0.163
Permethrin,0,0.854,3.29,27.5,0,-0.222,-0.0288,0.919,-1.58,0,2.23,20.5,98.9,1,1.05,0.489,85.2
Phenacetin,0.152,-0.00379,3.16,22.9,6.92,0.0121,0.0577,0.995,2.11,0,1.98,13.8,67.6,1,5.86,0.201,0.449
Phenytoin,0.212,-1.35,2.62,26.6,0,0.0413,0.158,1.02,3.84,10.6,2.00,5.54,93.6,2,2.21,0.173,0.282
Primidone,0.249,-0.154,3.21,24.1,0,0.0532,-0.0625,0.953,8.23,10.6,1.99,18.8,76.5,2,2.49,0.573,0.234
Propamocarb,0.305,-0.315,2.42,19.3,0,-0.178,-0.5,1.03,-14.4,10.2,1.83,19.8,45.9,1,1.20,0.148,0.797
Propranolol,0.102,-0.748,3.16,21.9,0,-0.0347,-0.0395,1.03,8.69,5.32,2.02,26.0,63.9,0,3.06,0.456,1.58
Propylparaben,0,1.28,3.22,23.6,24.3,-0.0296,0.0385,1.03,-7.65,0,1.98,13.3,71.1,1,6.98,0.147,3.05
Propyzamide,0.122,-0.566,3.61,29.6,12.1,-0.189,0.0781,0.721,-3.6,5.32,2.21,19.4,110,1,1.83,0.371,3.48
Pyridine,0.328,0,1.97,23.5,0,-0.313,0.417,1.13,0,4.98,1.94,0,64.9,0,18.1,0.109,1.54
Pyrithiobac,0.196,-1.1,3.83,34.6,26.4,0.195,0.0833,0.581,-10.6,9.97,2.92,10.1,132,0,10.7,0.328,0.881
Quetiapine,0.245,-0.275,3.19,26.1,15.4,0.0785,-0.157,0.894,-60.7,9.80,2.92,9.79,80.3,0,7.45,0.687,3.57
Resmethrin,0,0.416,3.27,22.4,11.1,-0.199,-0.09,0.931,51.7,0,1.99,40.7,66.6,1,2.72,0.344,26.0
S-Bioallethrin,0,0.364,3.07,21.1,5.57,-0.0802,-0.295,0.923,51.6,0,1.97,53.6,62.5,2,1.60,1.25,5.51
Simazine,0.768,-1.15,2.72,26.7,0,0.356,-0.135,0.896,10.4,15.0,2.20,13.8,87.1,0,1.66,0.151,1.86
Solvent red 1,0.196,-0.633,2.87,26.4,0,0.0142,0.298,0.889,4.19,0,2.02,0,88.2,0,0.713,0.620,5.82
Tetrachloroethylene,0,0,0.918,88.8,0,-0.5,-0.417,1.25,0,0,2.25,0,703,0,1.20,0.303,3.76
alpha-Thujone,0,-0.541,2.13,19.3,6.42,-0.1,-0.432,1.02,13.5,0,1.94,33.6,53.2,1,3.03,0.431,8.62
m-Toluic acid,0,-1.15,3.02,24.1,0,-0.186,0.2,0.929,4.3,0,1.99,6.92,79.7,0,24.0,0.155,12.1
"1,1,2,2-Tetrahydroperfluoro-1-decanol",0,-0.518,2.1,41.3,0,-0.166,-0.643,1.13,-0.639,0,1.89,54.1,199,0,0.544,0.503,0.374
"1,2,4-Tribromobenzene",0,0,2,72,0,-0.313,0.333,0.663,0,0,3.06,0,372,0,0.664,1.71,0.699
Valproic acid,0,-1.15,2.06,17.8,0,-0.0838,-0.35,1.31,2.3,0,1.88,39.5,42.9,0,3.27,0.225,7.52
Wyeth-14643,0.293,-0.656,3.81,31.3,5.56,-0.0444,0.0833,0.885,3.3,9.97,2.92,19.0,113,0,4.94,0.333,7.39
